,coin,time,near_symbol,far_symbol,vwap_near,vwap_far,spread,volume_near,volume_far
0,XBT,2018-01-02 23:00:00,XBTH18,XBTM18,15857.539468183615,17955.225721604635,2097.6862534210195,3395065,151361
1,XBT,2018-01-03 00:00:00,XBTH18,XBTM18,16095.653652346316,17512.403598556208,1416.7499462098913,3880638,3991030
2,XBT,2018-01-03 01:00:00,XBTH18,XBTM18,16015.590701871888,18183.519679666882,2167.9289777949944,1017262,3639333
3,XBT,2018-01-03 02:00:00,XBTH18,XBTM18,16170.207639391898,17404.895809740243,1234.688170348345,2479906,322148
4,XBT,2018-01-03 03:00:00,XBTH18,XBTM18,16240.848903495404,17806.19931317576,1565.3504096803554,4587485,4973513
5,XBT,2018-01-03 04:00:00,XBTH18,XBTM18,16191.252654219556,17911.064731044462,1719.8120768249064,2269056,460823
6,XBT,2018-01-03 05:00:00,XBTH18,XBTM18,16234.252364510225,17982.949517487126,1748.6971529769016,1900722,209903
7,XBT,2018-01-03 06:00:00,XBTH18,XBTM18,16566.777560835908,18095.352783277882,1528.575222441974,3573863,497491
8,XBT,2018-01-03 07:00:00,XBTH18,XBTM18,16687.41842132806,18054.480389830867,1367.0619685028068,4041568,467808
9,XBT,2018-01-03 08:00:00,XBTH18,XBTM18,16387.91432534505,17802.55428089294,1414.6399555478893,1788732,314334
10,XBT,2018-01-03 09:00:00,XBTH18,XBTM18,16051.45659545792,17382.19879902005,1330.7422035621312,9026615,738607
11,XBT,2018-01-03 10:00:00,XBTH18,XBTM18,15721.553230821792,16999.433222802163,1277.8799919803714,6084552,4326932
12,XBT,2018-01-03 11:00:00,XBTH18,XBTM18,15853.602840784555,16971.718779201285,1118.1159384167295,1120814,3885461
13,XBT,2018-01-03 12:00:00,XBTH18,XBTM18,15779.635586506109,17079.881760821347,1300.246174315238,3347138,228308
14,XBT,2018-01-03 13:00:00,XBTH18,XBTM18,15885.411891288955,17079.338408400956,1193.9265171120005,2879461,307358
15,XBT,2018-01-03 14:00:00,XBTH18,XBTM18,16072.172931654606,17415.963456864512,1343.7905252099063,3519368,5357232
16,XBT,2018-01-03 15:00:00,XBTH18,XBTM18,16083.517599555926,17361.16951837753,1277.6519188216043,1062654,248423
17,XBT,2018-01-03 16:00:00,XBTH18,XBTM18,16233.896143687778,17568.44723616627,1334.5510924784921,3051128,2132437
18,XBT,2018-01-03 17:00:00,XBTH18,XBTM18,16127.946151308433,17221.69679799687,1093.7506466884352,1471222,4004879
19,XBT,2018-01-03 18:00:00,XBTH18,XBTM18,15938.623391954829,17148.020220917522,1209.3968289626937,1144314,1857424
20,XBT,2018-01-03 19:00:00,XBTH18,XBTM18,15918.580409082102,17103.98311927522,1185.4027101931188,470695,37032
21,XBT,2018-01-03 20:00:00,XBTH18,XBTM18,15960.560790370462,17214.594588983342,1254.0337986128798,1446144,80460
22,XBT,2018-01-03 21:00:00,XBTH18,XBTM18,16175.460269566089,17399.639016260786,1224.178746694697,1248732,2098816
23,XBT,2018-01-03 22:00:00,XBTH18,XBTM18,16152.925940859881,17118.434510088508,965.5085692286266,1078383,2241917
24,XBT,2018-01-03 23:00:00,XBTH18,XBTM18,16326.563128391643,17427.48880432086,1100.9256759292166,3006233,518531
25,XBT,2018-01-04 00:00:00,XBTH18,XBTM18,16386.24199376674,17468.07454816969,1081.8325544029503,952872,147379
26,XBT,2018-01-04 01:00:00,XBTH18,XBTM18,16442.573220783797,17464.380790652263,1021.8075698684661,4995160,1269933
27,XBT,2018-01-04 02:00:00,XBTH18,XBTM18,16603.061648816667,17745.38961914429,1142.327970327624,1421791,43496
28,XBT,2018-01-04 03:00:00,XBTH18,XBTM18,16408.614658064547,17652.852045576477,1244.2373875119301,1208536,78286
29,XBT,2018-01-04 04:00:00,XBTH18,XBTM18,15984.060785145459,17328.00042254006,1343.9396373946001,8472994,492288
30,XBT,2018-01-04 05:00:00,XBTH18,XBTM18,15970.806974131348,17244.770327686754,1273.9633535554058,921142,72020
31,XBT,2018-01-04 06:00:00,XBTH18,XBTM18,16109.933852420098,17450.004517885103,1340.0706654650057,357754,58244
32,XBT,2018-01-04 07:00:00,XBTH18,XBTM18,15957.312293444867,17302.631515345853,1345.3192219009852,2327291,104784
33,XBT,2018-01-04 08:00:00,XBTH18,XBTM18,15448.75584445699,16644.537808809084,1195.7819643520943,17594610,9138703
34,XBT,2018-01-04 09:00:00,XBTH18,XBTM18,15302.788821573007,16550.113449813503,1247.3246282404962,4750617,4676061
35,XBT,2018-01-04 10:00:00,XBTH18,XBTM18,15546.885571062072,16686.18214119377,1139.296570131699,2199321,168642
36,XBT,2018-01-04 11:00:00,XBTH18,XBTM18,15426.089719655438,16498.926384158112,1072.8366645026745,2024300,225131
37,XBT,2018-01-04 12:00:00,XBTH18,XBTM18,15380.924242826133,16589.1590862423,1208.2348434161668,1324084,2564767
38,XBT,2018-01-04 13:00:00,XBTH18,XBTM18,15472.72279711498,16666.349917336018,1193.6271202210373,1319160,104130
39,XBT,2018-01-04 14:00:00,XBTH18,XBTM18,15673.009379070305,16747.50995982294,1074.500580752634,1104579,432513
40,XBT,2018-01-04 15:00:00,XBTH18,XBTM18,15585.391107564355,16709.418223618348,1124.0271160539924,975787,102776
41,XBT,2018-01-04 16:00:00,XBTH18,XBTM18,15553.256537302475,16743.393888428232,1190.137351125757,1251016,183265
42,XBT,2018-01-04 17:00:00,XBTH18,XBTM18,15758.780066255613,16915.20034154683,1156.4202752912188,320960,241720
43,XBT,2018-01-04 18:00:00,XBTH18,XBTM18,15943.338424173407,16962.05795728959,1018.7195331161838,1258118,347859
44,XBT,2018-01-04 19:00:00,XBTH18,XBTM18,16140.469118673045,17006.667766338152,866.1986476651073,2848486,135254
45,XBT,2018-01-04 20:00:00,XBTH18,XBTM18,16185.183328768328,17079.23486746364,894.0515386953139,1066753,112007
46,XBT,2018-01-04 21:00:00,XBTH18,XBTM18,16144.049742604455,17071.58537216406,927.5356295596048,1062241,117201
47,XBT,2018-01-04 22:00:00,XBTH18,XBTM18,16226.47731479564,17131.33275054364,904.8554357479989,1358799,148996
48,XBT,2018-01-04 23:00:00,XBTH18,XBTM18,16264.166332000254,17189.252817786946,925.0864857866927,1869807,145455
49,XBT,2018-01-05 00:00:00,XBTH18,XBTM18,16126.784738597187,17035.298287644717,908.5135490475295,599712,128787
50,XBT,2018-01-05 01:00:00,XBTH18,XBTM18,16181.475875039212,17053.696336697252,872.2204616580402,306685,21800
51,XBT,2018-01-05 02:00:00,XBTH18,XBTM18,16366.173157270037,17265.911705132406,899.7385478623692,1184705,100791
52,XBT,2018-01-05 03:00:00,XBTH18,XBTM18,16218.681943110965,17086.456575251723,867.7746321407576,579878,7548
53,XBT,2018-01-05 04:00:00,XBTH18,XBTM18,16083.774848676787,16806.374684387487,722.5998357107001,557358,535801
54,XBT,2018-01-05 05:00:00,XBTH18,XBTM18,16201.480472167648,16921.079504639398,719.5990324717495,1275045,172544
55,XBT,2018-01-05 06:00:00,XBTH18,XBTM18,16152.20977076606,16966.904972458993,814.6952016929336,872072,33717
56,XBT,2018-01-05 07:00:00,XBTH18,XBTM18,16084.097654959409,16905.051374678806,820.9537197193968,500715,151932
57,XBT,2018-01-05 08:00:00,XBTH18,XBTM18,16672.41832877704,17570.101518608248,897.6831898312084,11047005,877256
58,XBT,2018-01-05 09:00:00,XBTH18,XBTM18,17383.217097809717,18277.01326436047,893.7961665507537,16611427,1220824
59,XBT,2018-01-05 10:00:00,XBTH18,XBTM18,17484.62500247014,18545.0922549434,1060.4672524732596,4008557,3786970
60,XBT,2018-01-05 11:00:00,XBTH18,XBTM18,17432.15912973745,18546.521237040368,1114.3621073029171,1904827,364019
61,XBT,2018-01-05 12:00:00,XBTH18,XBTM18,17366.473678946084,18479.532069452118,1113.058390506034,2468120,438911
62,XBT,2018-01-05 13:00:00,XBTH18,XBTM18,17431.473875196974,18409.58457267136,978.1106974743852,1749226,3276654
63,XBT,2018-01-05 14:00:00,XBTH18,XBTM18,17428.58596673221,18535.543902403868,1106.9579356716567,2218389,266071
64,XBT,2018-01-05 15:00:00,XBTH18,XBTM18,17460.948226049517,18464.69954694869,1003.7513208991732,564521,69970
65,XBT,2018-01-05 16:00:00,XBTH18,XBTM18,17703.055632111504,18759.19445528962,1056.1388231781166,7031624,488759
66,XBT,2018-01-05 17:00:00,XBTH18,XBTM18,17894.274334661124,19046.626760524105,1152.3524258629805,7342009,763932
67,XBT,2018-01-05 18:00:00,XBTH18,XBTM18,17762.68068620962,19187.50856521981,1424.8278790101904,1546977,258768
68,XBT,2018-01-05 19:00:00,XBTH18,XBTM18,17614.219194903497,19008.77325629573,1394.5540613922349,1111311,88552
69,XBT,2018-01-05 20:00:00,XBTH18,XBTM18,17672.10686487455,19025.732704870134,1353.625839995584,371776,17556
70,XBT,2018-01-05 21:00:00,XBTH18,XBTM18,17975.87900476873,19330.69381324845,1354.8148084797213,6430394,478788
71,XBT,2018-01-05 22:00:00,XBTH18,XBTM18,17990.922414072025,19310.037643326115,1319.11522925409,4020808,205008
72,XBT,2018-01-05 23:00:00,XBTH18,XBTM18,18081.221782488363,19538.4558228864,1457.234040398038,3593799,147603
73,XBT,2018-01-06 00:00:00,XBTH18,XBTM18,17941.8388672602,19280.79927492431,1338.960407664108,3045364,145001
74,XBT,2018-01-06 01:00:00,XBTH18,XBTM18,18056.393365348416,19442.040764687044,1385.647399338628,1266378,56206
75,XBT,2018-01-06 02:00:00,XBTH18,XBTM18,17867.142888557963,19152.058781808893,1284.9158932509308,2759884,3082891
76,XBT,2018-01-06 03:00:00,XBTH18,XBTM18,17693.802267414707,18963.33439918946,1269.5321317747548,2005018,378268
77,XBT,2018-01-06 04:00:00,XBTH18,XBTM18,17625.91032338217,18654.52422811836,1028.6139047361903,2117990,6043618
78,XBT,2018-01-06 05:00:00,XBTH18,XBTM18,17646.390874770237,18700.097706813507,1053.70683204327,1675846,233580
79,XBT,2018-01-06 06:00:00,XBTH18,XBTM18,17749.771736418847,18799.674545610687,1049.9028091918408,90401,52400
80,XBT,2018-01-06 07:00:00,XBTH18,XBTM18,17505.65842544027,18695.373922789207,1189.7154973489378,1874984,107801
81,XBT,2018-01-06 08:00:00,XBTH18,XBTM18,17566.78969487287,18705.10099525965,1138.3113003867802,746518,136720
82,XBT,2018-01-06 09:00:00,XBTH18,XBTM18,17597.886688528182,18599.51006397815,1001.6233754499663,557732,27822
83,XBT,2018-01-06 10:00:00,XBTH18,XBTM18,17678.93319678036,18755.993150151586,1077.0599533712266,1923444,198578
84,XBT,2018-01-06 11:00:00,XBTH18,XBTM18,17777.93855931317,19071.92733597403,1293.988776660859,502396,419447
85,XBT,2018-01-06 12:00:00,XBTH18,XBTM18,17549.223935882168,18692.518760720082,1143.2948248379143,3306291,157289
86,XBT,2018-01-06 13:00:00,XBTH18,XBTM18,17433.30378076193,18533.166642453478,1099.8628616915485,636748,99092
87,XBT,2018-01-06 14:00:00,XBTH18,XBTM18,17613.075480909483,18792.72952578429,1179.6540448748055,462701,126674
88,XBT,2018-01-06 15:00:00,XBTH18,XBTM18,17868.6082415081,18977.443679978292,1108.8354384701925,2239404,294755
89,XBT,2018-01-06 16:00:00,XBTH18,XBTM18,18072.41418572916,19058.16726019798,985.7530744688192,3690925,449427
90,XBT,2018-01-06 17:00:00,XBTH18,XBTM18,18170.78522553547,19114.48060504164,943.6953795061709,2992700,498687
91,XBT,2018-01-06 18:00:00,XBTH18,XBTM18,18124.847945919122,19213.280596871857,1088.4326509527345,6620643,323515
92,XBT,2018-01-06 19:00:00,XBTH18,XBTM18,18036.881032367062,19074.680703070568,1037.7996707035054,1273174,45529
93,XBT,2018-01-06 20:00:00,XBTH18,XBTM18,18123.512655336122,19110.45813630655,986.9454809704293,850271,235704
94,XBT,2018-01-06 21:00:00,XBTH18,XBTM18,18121.78364921448,19157.325460388758,1035.5418111742765,444483,217461
95,XBT,2018-01-06 22:00:00,XBTH18,XBTM18,18583.661556651285,19702.86389018645,1119.202333535166,13776444,1246542
96,XBT,2018-01-06 23:00:00,XBTH18,XBTM18,18588.599071577682,19755.99131748803,1167.3922459103487,1478507,207439
97,XBT,2018-01-07 00:00:00,XBTH18,XBTM18,18563.581121867235,19644.677043343414,1081.0959214761788,2561092,383470
