,net_profitability,n_trades,winning_ratio,losing_ratio,MDD,largest_win,largest_lose,sharpe_ratio,aver_holding_time,aver_winning_holding_time,aver_losing_holding_time,in_standard,out_standard
"(60,10)",0.443790139177312,254.0,0.7283464566929134,0.2677165354330709,0.9641346598401317,0.07996904051482523,-0.03577586160464885,5.930054517911101,306739.920948616,247718.918918918,467311.764705882,60,10
"(60,15)",0.28150674690408484,404.0,0.745049504950495,0.2524752475247525,0.6499537252277242,0.0626457320078263,-0.03664945025057054,6.726550950382325,180750.372208436,149417.940199335,273211.764705882,60,15
"(60,20)",0.26093070928396633,565.0,0.7486725663716814,0.24955752212389382,0.5565545958429269,0.19659252715606135,-0.07111310545032734,3.301729028499161,119597.872340425,100340.425531914,177370.212765957,60,20
"(60,25)",0.2846918054791798,795.0,0.769811320754717,0.2289308176100629,0.6877420178575531,0.19659252715606135,-0.03728679165504856,3.2779771924145797,75867.506297229,63482.352941176,117514.285714285,60,25
"(60,30)",0.15429061689302337,995.0,0.7839195979899497,0.2150753768844221,0.7031937868642462,0.19659252715606157,-0.037286791655048335,2.2139859492876086,54134.004024144,44086.153846153,90757.009345794,60,30
"(60,35)",-0.1367844018617974,1159.0,0.7782571182053495,0.22088006902502158,0.9036873289669298,0.05583630355288305,-0.04651173524685981,1.3943387198883872,41667.357512953,34279.822616407,67696.875,60,35
"(65,10)",0.5316113835610348,244.0,0.7172131147540983,0.2786885245901639,1.0632354140477491,0.07996904051482501,-0.03577586160464885,6.796640025745226,312444.444444444,251753.142857142,468635.294117647,65,10
"(65,15)",0.43637652523782156,390.0,0.7564102564102564,0.24102564102564103,0.8109790655016937,0.08035493956601703,-0.024120465569335003,7.242316026830661,180814.395886889,149491.525423728,279114.893617021,65,15
"(65,20)",0.38909730460923386,528.0,0.7367424242424242,0.26136363636363635,0.7002792860235687,0.19659252715606157,-0.035000429791332666,4.111454957519993,122010.626185958,101003.598971722,181226.086956521,65,20
"(65,25)",0.40298349526910693,741.0,0.7705802968960864,0.22807017543859648,0.7631579942455043,0.19659252715606157,-0.07250984263308102,3.8452387456394956,75590.27027027,62593.345008756,119502.958579881,65,25
